company_name,industry,company_size,location,annual_revenue,target_audience,current_ad_spend,primary_goals
MedCare Plus 1,Healthcare,Large,"San Francisco, CA",160201334.2115643,Healthcare Professionals,4992359.670058962,"Patient Acquisition, Provider Network Growth, Service Awareness"
RetailHub 2,Retail,Small,"Denver, CO",3025602.7832237585,Local Customers,233823.33036054095,"Seasonal Campaigns, Brand Recognition"
IndustrialPro 3,Manufacturing,Medium,"Chicago, IL",36416272.77447021,Procurement Managers,1719577.9051832901,"B2B Lead Generation, Industry Leadership, Partnership Development"
WellnessPro 4,Healthcare,Large,"Miami, FL",321676714.115101,Healthcare Professionals,27204283.947605852,"Patient Acquisition, Service Awareness, Provider Network Growth"
ShopSmart 5,Retail,Small,"San Francisco, CA",3475684.9335546955,Fashion Enthusiasts,284469.05744608457,"Seasonal Campaigns, Customer Acquisition"
VehicleMax 6,Automotive,Medium,"Boston, MA",21658143.52025972,Car Buyers,796165.5376813825,"Service Bookings, Vehicle Sales"
MotorCorp 7,Automotive,Large,"Denver, CO",495285507.78646785,Fleet Managers,35264318.639133506,"Vehicle Sales, New Model Launches, Brand Loyalty"
AcademyPro 8,Education,Large,"Seattle, WA",79784872.34519625,Parents,7424053.375058403,"Course Promotion, Corporate Training Sales, Student Enrollment"
ManufactureTech 9,Manufacturing,Medium,"Los Angeles, CA",38524504.1941223,Industrial Buyers,2431596.712388382,"Partnership Development, B2B Lead Generation, Industry Leadership"
AutoTech 10,Automotive,Small,"Chicago, IL",4374963.093499996,Service Customers,140993.27237483903,"New Model Launches, Service Bookings"
AutoSolutions 11,Automotive,Large,"New York, NY",486985269.92612815,Car Buyers,43274668.2496905,"Brand Loyalty, Vehicle Sales, Service Bookings"
RealtyTech 12,Real Estate,Enterprise,"Boston, MA",530830502.9664283,Real Estate Investors,41281289.426784955,"Market Presence, Listing Promotion"
RetailHub 13,Retail,Large,"Denver, CO",393129860.03381807,Consumers,24826277.40996476,"Seasonal Campaigns, Sales Growth, Brand Recognition"
SkillBuilder 14,Education,Medium,"San Francisco, CA",7606632.49223844,Students,686428.3575089852,"Student Enrollment, Corporate Training Sales, Course Promotion"
AutoSolutions 15,Automotive,Medium,"Los Angeles, CA",16927548.30230266,Fleet Managers,1520003.1615256928,"Brand Loyalty, Service Bookings"
AcademyPro 16,Education,Enterprise,"Seattle, WA",1649539860.7485244,Students,62642574.33797844,"Corporate Training Sales, Student Enrollment"
TechFlow 17,Technology,Small,"Seattle, WA",1530238.0271501946,Software Developers,141445.41129858798,"Product Adoption, Talent Acquisition"
CarPro 18,Automotive,Medium,"Miami, FL",37550865.46464369,Fleet Managers,3401757.1607239475,"New Model Launches, Vehicle Sales, Brand Loyalty"
CareConnect 19,Healthcare,Large,"New York, NY",240610380.35896435,Healthcare Professionals,13801886.248245163,"Service Awareness, Provider Network Growth"
HealthTech 20,Healthcare,Medium,"Los Angeles, CA",13559400.879836518,Patients,757822.4924123426,"Service Awareness, Patient Acquisition, Provider Network Growth"
